customer_email,customer_id,customer_name,financial_status,fulfillment_id,fulfillment_status,gateway,line_price,order_date,order_id,order_number,order_total_price,product_id,product_title,quantity,refund_amount,refund_currency,refund_id,refund_product_id,refund_product_title,refund_quantity,refund_sku,refund_variant_id,shipping_carrier,shipping_code,shipping_price,shipping_title,shop_id,sku,tracking_company,tracking_number,transaction_amount,transaction_id,transaction_status,variant_id
garrisontiffany@example.org,54b2a902-8d3d-4bff-bb18-78605f2507c6,Christine Stokes,pending,218467,,paypal,425.0,2025-03-03 07:58:42.812410+05:30,2cd63d42-847c-4109-a9a7-215005717dd4,7782,522.0,6d8aa3a1-6ad9-40a9-b7ec-2ca44407b713,PM,3,,,,,,,,,FedEx,SHIPanO,17.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUTPxp,FedEx,eeccfa76-c19c-40f3-b412-4aa7dcbbfb1f,522.0,684573,success,6298
sara91@example.com,f931e24d-1906-4a1c-8e76-0bffb4a42d44,Christopher Gilmore,paid,328189,fulfilled,paypal,236.0,2025-06-18 07:58:42.814057+05:30,b8942c98-6aa5-4fdc-b3b7-c4052f72a272,8570,265.0,4f6fbc3a-57ad-4381-b9b6-b1714a299a1c,less,1,,,,,,,,,UPS,SHIPmJx,15.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUVoNk,DHL,fa619894-580c-4e25-bd11-08fd06631327,265.0,152686,success,9673
sara91@example.com,f931e24d-1906-4a1c-8e76-0bffb4a42d44,Christopher Gilmore,paid,328189,fulfilled,paypal,749.95,2025-06-18 07:58:42.814057+05:30,b8942c98-6aa5-4fdc-b3b7-c4052f72a272,8570,265.0,9f78cc66-a63a-4725-8ed8-848236054895,The Hidden Snowboard,3,,,,,,,,,UPS,SHIPmJx,15.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUDUlT,DHL,fa619894-580c-4e25-bd11-08fd06631327,265.0,152686,success,4251
sara91@example.com,f931e24d-1906-4a1c-8e76-0bffb4a42d44,Christopher Gilmore,paid,328189,fulfilled,paypal,102.0,2025-06-18 07:58:42.814057+05:30,b8942c98-6aa5-4fdc-b3b7-c4052f72a272,8570,265.0,d8e7c038-ac4f-4c01-b123-39ea53445acd,wonder,1,,,,,,,,,UPS,SHIPmJx,15.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUnIGF,DHL,fa619894-580c-4e25-bd11-08fd06631327,265.0,152686,success,6187
emily51@example.com,61306999-e771-4c88-b8e9-09324a4500b5,John Gonzalez,refunded,150159,fulfilled,paypal,2629.95,2025-11-07 07:58:42.696249+05:30,3b105f43-8453-4a81-ab69-808591d4a2e2,5559,156.0,60133382-72ac-467d-bc72-75641f68faab,The Draft Snowboard,3,50.0,USD,659425,,Refunded Item,1,,,DHL,SHIPhRw,14.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUyvGR,DHL,c08e8858-39f7-4cb2-8d7b-9fe322f1b295,156.0,326206,success,6900
emily51@example.com,61306999-e771-4c88-b8e9-09324a4500b5,John Gonzalez,refunded,150159,fulfilled,paypal,699.95,2025-11-07 07:58:42.696249+05:30,3b105f43-8453-4a81-ab69-808591d4a2e2,5559,156.0,09ff91d0-9e7e-496b-887e-bf2445b626ad,The Complete Snowboard,2,50.0,USD,659425,,Refunded Item,1,,,DHL,SHIPhRw,14.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUJFcL,DHL,c08e8858-39f7-4cb2-8d7b-9fe322f1b295,156.0,326206,success,6022
emily51@example.com,61306999-e771-4c88-b8e9-09324a4500b5,John Gonzalez,refunded,150159,fulfilled,paypal,2629.95,2025-11-07 07:58:42.696249+05:30,3b105f43-8453-4a81-ab69-808591d4a2e2,5559,156.0,60133382-72ac-467d-bc72-75641f68faab,The Draft Snowboard,2,50.0,USD,659425,,Refunded Item,1,,,DHL,SHIPhRw,14.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKULezB,DHL,c08e8858-39f7-4cb2-8d7b-9fe322f1b295,156.0,326206,success,6846
emily51@example.com,61306999-e771-4c88-b8e9-09324a4500b5,John Gonzalez,refunded,150159,fulfilled,paypal,749.95,2025-11-07 07:58:42.696249+05:30,3b105f43-8453-4a81-ab69-808591d4a2e2,5559,156.0,9f78cc66-a63a-4725-8ed8-848236054895,The Hidden Snowboard,2,50.0,USD,659425,,Refunded Item,1,,,DHL,SHIPhRw,14.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUIhhS,DHL,c08e8858-39f7-4cb2-8d7b-9fe322f1b295,156.0,326206,success,2665
pjones@example.net,1022889a-8175-4f31-9b9e-a13d11ea81eb,Rebecca Williams,paid,444955,fulfilled,paypal,400.0,2025-08-28 07:58:42.714921+05:30,205a9d64-3747-4d47-8298-faf00f0142c7,3317,214.0,90e652b7-ce5d-454d-a209-1e163eae0fe6,Test Product 4,2,,,,,,,,,FedEx,SHIPYYL,8.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUlDGF,DHL,6eed978c-e02d-43bb-986a-466f7fb37209,214.0,293519,success,5511
pjones@example.net,1022889a-8175-4f31-9b9e-a13d11ea81eb,Rebecca Williams,paid,444955,fulfilled,paypal,423.0,2025-08-28 07:58:42.714921+05:30,205a9d64-3747-4d47-8298-faf00f0142c7,3317,214.0,cd7a2a33-c1f9-454b-a1e4-3be2efd10a47,yet,1,,,,,,,,,FedEx,SHIPYYL,8.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUtBuq,DHL,6eed978c-e02d-43bb-986a-466f7fb37209,214.0,293519,success,3600
pjones@example.net,1022889a-8175-4f31-9b9e-a13d11ea81eb,Rebecca Williams,paid,444955,fulfilled,paypal,749.95,2025-08-28 07:58:42.714921+05:30,205a9d64-3747-4d47-8298-faf00f0142c7,3317,214.0,b8ad6532-de6a-413c-ae25-acd16e616254,The Collection Snowboard: Liquid,2,,,,,,,,,FedEx,SHIPYYL,8.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUOsZg,DHL,6eed978c-e02d-43bb-986a-466f7fb37209,214.0,293519,success,7840
pjones@example.net,1022889a-8175-4f31-9b9e-a13d11ea81eb,Rebecca Williams,paid,444955,fulfilled,paypal,480.0,2025-08-28 07:58:42.714921+05:30,205a9d64-3747-4d47-8298-faf00f0142c7,3317,214.0,a84a8fe4-6dc6-4ea1-9e36-6336fd1d2333,goal,1,,,,,,,,,FedEx,SHIPYYL,8.0,Overnight,3107dcbe-487b-4d2a-ac6c-893a3b081045,SKUnbSA,DHL,6eed978c-e02d-43bb-986a-466f7fb37209,214.0,293519,success,6994
